"home_name","away_name","attendance","total_goals","date_key"
"FC Barcelona","Real Madrid","99354","4","20121007"
"Athletic Bilbao","FC Barcelona","99354","4","20150530"
"FC Barcelona","Real Madrid","98902","3","20160402"
"FC Barcelona","Real Madrid","98761","3","20131026"
"FC Barcelona","Real Madrid","98760","3","20150322"
"FC Barcelona","Real Madrid","98485","2","20161203"
"FC Barcelona","Liverpool FC","98299","3","20190501"
"FC Barcelona","Real Madrid","97939","4","20180506"
"FC Barcelona","Chelsea FC","97183","3","20180314"
"FC Barcelona","Atlético de Madrid","96973","2","20140517"
"FC Barcelona","Manchester United","96708","3","20190416"
"FC Barcelona","Paris Saint-Germain","96290","7","20170308"
"FC Barcelona","Manchester City","96290","4","20161019"
"FC Barcelona","Juventus FC","96290","0","20170419"
"FC Barcelona","Paris Saint-Germain","96022","2","20130410"
"FC Barcelona","Bayern Munich","95877","3","20130501"
"FC Barcelona","Real Madrid","95745","3","20230319"
"FC Barcelona","Bayern Munich","95639","3","20150506"
"FC Barcelona","Real Madrid","95002","4","20130226"
"FC Barcelona","AC Milan","94944","4","20130312"
"FC Barcelona","Real Madrid","94902","4","20230405"
"FC Barcelona","Unknown Club","93743","4","20150523"
"FC Barcelona","Real Madrid","93426","0","20191218"
"FC Barcelona","Real Madrid","93265","6","20181028"
"FC Barcelona","Atlético de Madrid","93011","3","20160130"
"FC Barcelona","Valencia CF","92915","2","20150418"
"FC Barcelona","RCD Espanyol Barcelona","92795","2","20190330"
"FC Barcelona","UD Almería","92605","2","20221105"
"FC Barcelona","Manchester City","92551","1","20150318"
"FC Barcelona","Atlético de Madrid","92453","2","20190406"
"FC Barcelona","Olympique Lyon","92346","6","20190313"
"FC Barcelona","Inter Milan","92302","6","20221012"
"FC Barcelona","Unknown Club","91917","1","20190427"
"FC Barcelona","Real Madrid","91728","5","20120822"
"FC Barcelona","Villarreal CF","90461","5","20170506"
"FC Barcelona","Atlético de Madrid","90356","1","20180304"
"FC Barcelona","Manchester United","90225","4","20230216"
"FC Barcelona","AS Roma","90106","5","20180404"
"FC Barcelona","Borussia Dortmund","90071","4","20191127"
"FC Barcelona","Valencia CF","89644","1","20230305"
"FC Barcelona","Real Madrid","89514","4","20170813"
"Arsenal FC","Chelsea FC","89472","3","20170527"
"FC Barcelona","RCD Espanyol Barcelona","89453","5","20160508"
"FC Barcelona","Atlético de Madrid","89421","2","20160921"
"FC Barcelona","Getafe CF","89409","3","20200215"
"Arsenal FC","Unknown Club","89345","5","20140517"
"Arsenal FC","Aston Villa","89283","4","20150530"
"FC Barcelona","Athletic Bilbao","88834","2","20150817"
"FC Barcelona","Sevilla FC","88712","6","20181020"
"Crystal Palace","Manchester United","88619","3","20160521"
