name,squad_size,foreigners_number,average_age
Unknown Club,41,1,23.9
Nottingham Forest,35,23,28.1
Unknown Club,34,10,24.1
Unknown Club,34,4,23.5
FC Kolin,34,11,24.6
Istanbulspor,34,17,24.8
Unknown Club,34,7,23.5
Unknown Club,34,10,26
PAS Lamia 1964,33,16,28.7
Kasimpasa,33,17,27.5
AJ Auxerre,33,21,25.7
Sporting CP,33,16,24.4
Unknown Club,33,7,25.2
Borussia Dortmund,33,16,24.6
Unknown Club,33,12,26.7
Unknown Club,33,8,26.7
FC Schalke 04,32,18,27.3
Rangers FC,32,22,27
Unknown Club,32,9,26.8
Unknown Club,32,10,23.7
