"full_name","total_goals","total_assists","apps"
"Robert Lewandowski","371","77","412"
"Lionel Messi","341","185","410"
"Cristiano Ronaldo","323","82","364"
"Harry Kane","258","56","380"
"Karim Benzema","230","92","393"
"Pierre-Emerick Aubameyang","230","51","367"
"Mohamed Salah","227","95","409"
"Luis Suárez","223","106","356"
"Ciro Immobile","213","58","350"
"Neymar","197","121","301"
"Kylian Mbappé","196","90","275"
"Romelu Lukaku","195","52","377"
"Wissam Ben Yedder","186","60","350"
"Antoine Griezmann","185","81","428"
"Sergio Agüero","176","40","251"
"Edinson Cavani","174","36","299"
"Alexandre Lacazette","172","53","344"
"Bas Dost","159","31","289"
"Mauro Icardi","157","42","291"
"Heung-min Son","155","77","391"
